# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "1" "-t" "exon" "-g" "gene_id" "-a" "annotation.gtf" "-o" "mouse_cns_E18_rep1.counts.txt" "./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam
ENSMUSG00000020451	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	244260;244260;244260;244260;244260;246239;246239;246239;246239;246239;247056;247056;247056;247056;247056;247578;247578;247578;247578;247578;248598;248598;248598;248598;248598;250396;250396;250396;250396;250396;250396;250646;250646;250646;250646;250646;250646;252295;252295;252295;252295;252295;252295;252774;252904;252904;253281;253281;253281;253281;253281;253412;255277;255277;255277;255277;255277;255277;255277;255815;255815;255815;255815;255815;255815;255815;255872;256057;256185;256189;256618;257976;258114;258114;258114;258114;258256;258999;258999;258999;258999;258999;258999;260455;260455;260455;260455;260455;260455;260539;261025;261787;268987;270973;270973;270973;270973;292921;296783;309050;309050;309050	245887;245887;245887;245887;245887;246395;246395;246395;246395;246395;247110;247110;247110;247110;247110;247751;247751;247751;247751;247751;248662;248662;248662;248662;248662;250451;250451;250451;250451;250451;250451;250776;250776;250776;250776;250776;250776;252820;252380;252380;252380;252380;252380;253466;252920;252920;253466;253466;253466;253466;253466;253466;255472;255472;255472;255472;255472;255472;255472;255871;255919;255919;255919;255919;255919;255919;255919;256144;256206;256505;256763;258301;258301;258301;258301;258301;258301;259107;259107;259107;259107;259107;259107;260589;260589;260589;260589;260589;260589;260589;261111;261828;269165;271338;271379;271379;271379;293019;297037;309192;309177;309177	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6076	581
ENSMUSG00000020453	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	188878;189171;189206;189285;189873;189997;189997;190443;190443;190461;191463;192199;192872;193284;193284;193284;193284;193284;193284;193284;193284;193284;193284;194460;194460;194460;194460;194460;194460;198288;199038;199038;199038;199038;199038;199038;199038;199123;206227;206292;206292;207652;207652;207652;207652;207652;207652;207652;207652	189350;189350;189350;189350;190195;191887;191887;191844;191887;191887;191887;192376;193018;193346;193346;193346;193346;193346;193346;193346;193346;193346;193346;195092;194671;194898;194550;194550;195432;198589;199208;199208;199208;199208;199208;199208;199208;199208;206363;206363;206363;207670;209086;208145;209086;209083;209086;209086;209086	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5894	210
ENSMUSG00000020454	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	102396;102667;102667;102693;102738;103025;103634;103634;103634;103634;103634;103634;103634;113264;113264;113264;113264;113264;113264;113264;115596;115596;115596;115596;115596;115596;120248;120248;120248;120248;120248;121097;121097;121097;124636;124636;124636;124636;127399;127399;127399;127399;127710;127710;127710;127710;127771;127771;127817;129873;129873;129873;129873;129873;129873;129972;133992;133992;133992;134223;134466;134466;134466;134466;134589;135549;135585;135585;135585;135585;135585;135585;136218;136218;136218;136218;136218;136218;136218;139405;139405;139405;139405;139405;139405;139405;140899;140899;140899;140899;140899;142381;142381;142381;142381;143187;143187;143187;143187;143855;143855;143855;143855	102559;102800;102800;102800;102995;103329;103753;103753;103753;103753;103753;103753;103753;113437;113336;113336;113336;113336;113336;113336;115722;115722;115722;115722;115722;115722;120533;122334;120533;120533;120533;121297;121297;121297;124810;124810;124810;124810;127533;127533;127533;127533;127888;127888;127888;127888;127888;127888;127888;130189;130104;130068;130104;130104;130104;130152;134062;134062;134062;134648;134648;134648;134648;134648;134648;135663;135663;135663;135663;135663;135663;135663;136356;136356;136356;136356;136356;136356;136356;139444;139462;139488;139488;139488;139488;139488;140978;141030;141030;141030;141030;142721;142721;142721;142721;143353;143353;143353;143353;144589;144591;144590;144584	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6324	338
ENSMUSG00000020457	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87364;88945;149911;150101;152164;152164;152164;152648;152648;152648;154415;154516;156547;156547;156547;157734;159310;159310;159310;159331;162493;162493;162493;162493;164771;164771;164771;166273;166273;166273;166273	87413;89059;150368;150368;152285;152285;152285;152688;152862;152814;154645;154645;156715;156715;156715;159378;159378;159378;159378;159378;162539;162667;162667;162667;164893;164893;164893;166395;166396;166418;166396	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3449	203
ENSMUSG00000020658	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	962555;962555;967104;967104;968528;968528;969566;969566;970977;970977;971767;971767;973609;973609;975337;976716;976716;977120;977120;977914;977914;980143;980143;980452;980452;981655;981655;981971;981971;982856;982856;983385;983385;984535;984535;985431;985431;992907;992907;999591;999591	966547;966547;967152;967152;968633;968633;969613;969613;971067;971067;971893;971893;973675;973675;975467;976876;976876;977194;977194;978085;978085;980193;980193;980562;980562;981815;981815;982105;982105;982933;982933;983518;983518;984683;984683;985551;985551;993056;993056;999717;999717	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6237	1115
ENSMUSG00000020660	chr12;chr12;chr12	954952;958077;959894	955046;958260;960618	+;+;+	1004	8
ENSMUSG00000020661	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	806008;806499;806528;807031;807059;807161;835028;835028;835028;835028;835028;849636;849636;849636;849636;849636;861022;861844;861966;865986;865986;865986;865986;865986;865986;865986;866192;872836;872836;872836;872836;872836;873283;873283;873283;873283;873283;875663;885450;891729;891745;894825;894870;895544;895544;895544;895544;895544;895544;895544;895544;895544;895594;895991;895991;895991;895991;895991;895991;895991;895991;895991;896579;896579;896579;896579;896579;896579;896579;896887;896887;896887;896887;896887;896887;896887;896887;897299;897299;897299;897299;897299;897299;897421;897566;897566;897566;897566;897566;899194;899194;899194;899194;899194;899194;899588;899588;899588;899588;899588;899588;899865;899865;899865;899865;899865;900278;900278;900278;900278;900278;900282;901550;901550;901550;901550;901550;901550;902382;902382;902382;902382;902382;902382;902667;902667;902667;902667;902667;904141;904141;904141;904141;904141;904141;905594;905594;905594;905594;905594;905594;906766;906766;906766;906766;906766;906766;906817;907607;907607;907607;907607;907607;907607;908254;911277	806232;806602;806602;807120;807120;807254;835260;838814;835260;835260;835260;849739;849739;849739;849739;849739;861131;861885;862099;866252;866252;866162;866252;866252;867484;866252;866252;872878;872878;872878;872878;872878;873428;873428;873381;873428;873428;876062;885655;891860;891860;895421;895108;895758;895758;895758;895758;895676;895758;895758;895758;895758;895758;896148;896148;896121;896148;896148;896148;896148;896148;896148;896685;896685;896685;896685;896685;896685;896685;897042;896976;897042;897042;897042;896995;897042;897042;897447;897447;897365;897447;897447;897447;897609;897609;897609;897609;897609;897609;899272;899272;899272;899272;899272;899272;899699;899699;899685;899699;899699;899699;900047;900047;900047;900047;900047;900361;900361;900361;900361;900361;900361;901694;901694;901694;901694;901694;901694;902471;902471;902471;902471;902471;902471;902814;902814;902814;902814;902814;904225;904225;904225;904225;904225;904225;905662;905662;905662;905662;905662;905662;906883;906883;906792;906883;906883;906883;906883;913491;907887;907743;907842;907786;914443;908547;914443	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	16610	1197
ENSMUSG00000020668	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	365133;365133;387382;387553;387553;387553;388136;388136;388136;389624;389624;389624;390439;390439;390439;401684;401684;401684;402435;402435;402435;402790;402790;402790	367531;367531;387454;387653;387653;387653;388257;388257;388257;389741;389741;389741;390554;390554;390554;401791;401791;401791;402606;402606;402606;404933;406494;406494	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6914	1845
ENSMUSG00000020671	chr12;chr12;chr12;chr12;chr12;chr12	247431;252613;253270;256868;264690;309293	249870;252713;253358;257005;264749;309969	-;-;-;-;-;-	3505	1902
ENSMUSG00000021215	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	881812;881812;884050;884050;885295;885295;885785;885785;886618;886618;886818;886818;887225;887225;887602;887602;888118;888118;892540;907044;912115;917185	883719;883719;884235;884235;885464;885464;886041;886041;886693;886693;886913;886913;887286;887286;887768;887768;888224;888224;892824;907102;912180;917466	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3721	206
ENSMUSG00000021216	chr13;chr13;chr13;chr13	923942;927336;929784;931865	923983;927578;929931;934522	+;+;+;+	3091	2
ENSMUSG00000021218	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	537322;537396;548110;550236;550236;553659;553659;555561;555561;556173;556173;559239;559239;561113;561113;563787;563787;564106;564106;564243;564243	537589;537589;548216;550334;550334;553792;553792;555758;555758;556303;556303;559337;559337;561283;561283;563930;563930;564159;564159;565066;565507	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2670	3891
ENSMUSG00000022184	chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15	915446;918908;919039;921285;921338;921338;921630;921630;921630;922711;925758;927763;929243	915792;919082;919082;921512;921512;921512;921982;921704;921704;922860;925977;927997;929573	-;-;-;-;-;-;-;-;-;-;-;-;-	2039	309
ENSMUSG00000022186	chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15	976384;976685;985261;985261;987092;987092;997260;997466;997466;997466	976849;976849;985368;985368;987181;987181;997312;997600;997600;997600	+;+;+;+;+;+;+;+;+;+	852	510
ENSMUSG00000022529	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	744094;744176;744183;744233;744361;744598;745778;745778;745778;746423;746423;746423;746772;746772;746772;746772;747888;748150;748150;748150;748150;748150;748713;748713;748713;748713;748713;748713;748713	744767;745957;744767;745512;744767;744767;745957;745957;745957;746495;746495;746495;746894;746894;746894;746894;748265;748265;748265;748265;748265;748265;750784;750790;749281;749894;749106;750790;750781	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4516	717
ENSMUSG00000022534	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	707216;707216;708197;708546;708546;709014;709014;710365;710365;710795;710795;712965;712965;713487;713487;715194;715284;717787;717787	708097;708032;708227;708837;708837;709128;709128;710386;710386;711012;711012;713059;713059;713829;713829;716128;716128;718124;718124	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3271	2
ENSMUSG00000023764	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	31854;31854;31854;31854;31885;31890;31891;31891;31891;31892;31893;31893;31894;32031;32220;32220;32220;32220;32220;32220;32220;32220;32220;32220;32220;32891;32891;32891;32891;32891;32891;32891;32891;32891;32891;32891;33076;33076;33076;33076;33076;33076;33076;33076;33076;33076;33076;33076;34322;34322;34322;34322;34322;34322;34322;34322;34322;34322;34322;34630;34630;34630;34630;34630;34630;34630;34663;34663;34663;34663;34936;35287;35287;35287;35287;35287;35287;35287;35287;35658;35658;35658;35658;35658;35658;35658;35658;35658;35658;35658;35658;35658;35735;35947;35947;35947;35947;35947;35947;35947;35947;35947;35947;35947;35947;35947;35947;36629;36629;36629;36629;36629;36629;36629;36629;36629;36629;36629;36629;36629;36950;36950;36950;36950;36950;36950;36950;36950;36950;36950;36950;36950;36950;40141;40141;40141;40141;40141;40141;40141;40141;40141;40141;40141;40141;40141;42312;42312;42312;42312;42312;42312;42312;42312;42312;42312;42312;42312;43264;43264;43264;43264;43264;43264;43264;43264;43264;43264;43264;43699;43699;43699;43699;43699;44221;44221;44221;44221;44221;44221;44221;44221;44221;44221;44221;44224;44796;44796;44796;44796;44796;44796;44796;44796;44796;44796;44796;44796;44796;44885;45245;45245;45245;45245;45245;45245;45245;45245;45245;45245;45245;45245;45245;46166;46166;46166;46166;46166;46166;46166;46166;46166;46166;46166;46166;46166;53388;53436;53436;53436;53436;53436;53436;53436;53436;53436;53436;53436;55403;55403;55403;55403;55403;55403;55403;55403;56776;56776;56776;56776;56776;56776;56816;57858;57870;57870;57870;57870;57870;57870;57870;57870;59989;59989;59989;59989;59989;59989;59989;59989;59989;60039;64561;64561;64561;64561;64561;64561;64561;64561;64561;64561;64561;64561;65258;65258;65580;65580;65580;65580;65580;65580;65580;65580;65580;65580;65580;65580;65580;65629;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;70591;76382;77431;77431;77431;77431;77431;77431;77431;77431;77431;77431;77431;77431;77431;77431;77431;79401;79401;79401;79401;79401;79401;79401;79401;79401;79401;79401;79401;79401;85572;86069;86069;86069;86069;86069;86069;86069;86069;86069;86069;86069;86069;86069;86069;87244;87244;87244;87244;87244;87244;87244;87244;87244;87244;87244;87244;87244;87244;88882;88945;88945;88945;88945;88945;88945;88945;88945;88945;88945;88945;88945;88945;93364;93364;93364;93364;93364;93364;93364;93364;93364;93364;93364	32134;32134;32134;32134;32134;32134;32968;32134;32134;32134;32134;32134;32968;32330;32330;32330;32330;32330;32275;32330;32330;32330;32330;32330;32330;32968;32968;32968;32968;32968;32968;32968;32968;32968;32951;32968;33210;33210;35545;33210;33210;33210;33210;33210;33210;33210;33210;33210;34504;34504;34504;34504;34504;34504;34504;34504;34504;34504;34504;35545;35545;35545;34733;34733;34733;34733;34733;34733;34733;34733;35545;35545;35545;35545;35545;35545;35545;35545;35545;35833;35833;35833;35833;35833;35833;35833;35833;35833;35833;35833;35833;35833;35833;36020;36020;36010;36020;36020;36020;36020;36020;36020;36020;36020;36020;36020;36020;36702;36702;36702;36702;36702;36702;36702;36702;36702;36702;36702;36702;36702;37109;37109;37109;37109;37109;37109;37109;37109;37109;37109;37109;37109;37109;40236;40236;40236;40236;40236;40236;40236;40236;40236;40236;40236;40236;40236;42413;42413;42413;42413;42413;42381;42413;42413;42413;42413;42413;42413;43339;43339;43339;43339;43339;43339;43339;43339;43339;43339;43339;43793;43793;43793;43793;43793;44295;44295;44295;44295;44295;44295;44295;44295;44295;44295;44295;44295;44973;44973;44973;44973;44973;44973;44973;44973;44973;44973;44973;44973;44973;44973;45325;45325;45325;45325;45325;45325;45325;45325;45325;45325;45325;45325;45325;46295;46725;46295;46295;46295;46359;46295;46295;46295;46295;46295;46295;46295;53501;53501;53501;53501;53501;53501;53501;53501;53501;53501;53501;53501;55499;55499;55499;55499;55499;55499;55499;55499;56867;56867;56867;56867;56867;56867;56867;57939;57939;57939;57939;57939;57939;57939;57939;57939;60149;60149;60149;60149;60149;60149;60149;60149;60149;60149;64716;64716;64716;64716;64716;64716;64600;64716;64716;64716;64716;64716;65324;65324;65681;65681;65681;65681;65681;65681;65681;65681;65681;65681;65681;65681;65681;65681;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;70707;76469;77524;77524;77524;77524;77496;77524;77524;77524;77524;77524;77524;77524;77524;77524;77524;79510;79510;79510;79510;79510;79510;79510;79510;79510;79510;79510;79510;79510;85977;86139;86139;86139;86139;86139;86139;86139;86139;86139;86139;86139;86139;86139;86139;87358;87413;87413;87413;87413;87413;87413;87413;87413;87413;87413;87413;87413;87413;89059;89059;89059;89059;89055;89059;89059;89059;89059;89059;89059;89059;89059;89059;93442;93414;93427;93424;93463;93427;93466;93466;93410;93466;93466	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7540	407
ENSMUSG00000023800	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	326574;397208;412633;412633;413946;413946;421274;421274;427129;427129;428792;428792;437229;437229;438628;438628;439702;439702;448379;448379;450233;450233;450780;450780;453321;453321;454089;454089;477176;477176;483491;502882;502882;502882;505709;505709;505709;506768;506768;506768;507710;507710;507710;509402;509402;509402;511058;511058;511058;512848;512848;512848;513392;513392;513392;514672;514672;514672;515971;515971;515971;516564;516564;516564;518113;518113;518113	326726;397344;412750;412750;415185;415185;421708;421708;427300;427300;429015;429015;437413;437413;438773;438773;439772;439772;448536;448536;450336;450336;450857;450857;453412;453412;454351;454351;477278;477278;484089;503060;503060;503060;505776;505776;505776;506892;506892;506892;507817;507817;507817;509580;509580;509580;511175;511175;511175;512955;512955;512955;513449;513449;513449;514776;514776;514776;516057;516057;516057;516717;516717;516717;519397;519395;519397	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6852	1060
